[2023-12-21 06:58:15,994][INFO] 
===== FNN_small-0.3-50-small-2023-12-21-06-58-15 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_small
  no_repair: False
  repair_number: 50
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.3
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5cbaad8790>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 50
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5cbaad8e50>
===== end of FNN_small-0.3-50-small-2023-12-21-06-58-15 configuration =====

[2023-12-21 06:58:15,994][INFO] ===== start repair ======
[2023-12-21 06:58:15,994][INFO] For pgd attack net
[2023-12-21 06:58:16,102][INFO] --big patch network: --- PatchNet ---
Name: small patch network 49
--- End of PatchNet ---
[2023-12-21 06:58:16,290][INFO] --load the trainset and testset as testing set
[2023-12-21 06:58:16,306][INFO] --evaluate the original net on testset
[2023-12-21 06:58:16,307][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-21 06:58:16,307][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-21 06:58:16,345][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-21 06:58:31,333][INFO] correct2 29
[2023-12-21 06:58:31,650][INFO] correct3 0
[2023-12-21 06:58:31,983][INFO] correct1 0
[2023-12-21 06:58:32,363][INFO] correct2 24
[2023-12-21 06:58:32,682][INFO] correct3 0
[2023-12-21 06:58:33,032][INFO] correct1 0
[2023-12-21 06:58:33,406][INFO] correct2 29
[2023-12-21 06:58:33,692][INFO] correct3 0
[2023-12-21 06:58:34,008][INFO] correct1 0
[2023-12-21 06:58:34,374][INFO] correct2 30
[2023-12-21 06:58:34,690][INFO] correct3 0
[2023-12-21 06:58:35,031][INFO] correct1 0
[2023-12-21 06:58:35,416][INFO] correct2 29
[2023-12-21 06:58:35,748][INFO] correct3 0
[2023-12-21 06:58:36,098][INFO] correct1 0
[2023-12-21 06:58:36,474][INFO] correct2 30
[2023-12-21 06:58:36,798][INFO] correct3 0
[2023-12-21 06:58:37,729][INFO] correct1 0
[2023-12-21 06:58:38,123][INFO] correct2 28
[2023-12-21 06:58:38,447][INFO] correct3 0
[2023-12-21 06:58:38,819][INFO] correct1 0
[2023-12-21 06:58:39,212][INFO] correct2 28
[2023-12-21 06:58:39,544][INFO] correct3 0
[2023-12-21 06:58:39,970][INFO] correct1 0
[2023-12-21 06:58:40,358][INFO] correct2 28
[2023-12-21 06:58:40,695][INFO] correct3 0
[2023-12-21 06:58:41,060][INFO] correct1 0
[2023-12-21 06:58:41,445][INFO] correct2 27
[2023-12-21 06:58:41,770][INFO] correct3 0
[2023-12-21 06:58:42,114][INFO] correct1 0
[2023-12-21 06:58:42,492][INFO] correct2 26
[2023-12-21 06:58:42,810][INFO] correct3 0
[2023-12-21 06:58:43,127][INFO] correct1 0
[2023-12-21 06:58:43,492][INFO] correct2 26
[2023-12-21 06:58:43,807][INFO] correct3 0
[2023-12-21 06:58:44,160][INFO] correct1 0
[2023-12-21 06:58:44,523][INFO] correct2 28
[2023-12-21 06:58:44,834][INFO] correct3 0
[2023-12-21 06:58:45,691][INFO] correct1 0
[2023-12-21 06:58:46,048][INFO] correct2 27
[2023-12-21 06:58:46,370][INFO] correct3 0
[2023-12-21 06:58:46,695][INFO] correct1 0
[2023-12-21 06:58:47,066][INFO] correct2 31
[2023-12-21 06:58:47,396][INFO] correct3 0
[2023-12-21 06:58:47,744][INFO] correct1 0
[2023-12-21 06:58:48,087][INFO] correct2 25
[2023-12-21 06:58:48,407][INFO] correct3 0
[2023-12-21 06:58:48,774][INFO] correct1 0
[2023-12-21 06:58:49,156][INFO] correct2 30
[2023-12-21 06:58:49,471][INFO] correct3 0
