[2023-12-21 01:47:59,517][INFO] 
===== FNN_small-0.05-500-small-2023-12-21-01-47-59 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_small
  no_repair: False
  repair_number: 500
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.05
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5cbaad8790>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 500
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5cbaad8ca0>
===== end of FNN_small-0.05-500-small-2023-12-21-01-47-59 configuration =====

[2023-12-21 01:47:59,517][INFO] ===== start repair ======
[2023-12-21 01:47:59,517][INFO] For pgd attack net
[2023-12-21 01:48:00,728][INFO] --big patch network: --- PatchNet ---
Name: small patch network 499
--- End of PatchNet ---
[2023-12-21 01:48:02,406][INFO] --load the trainset and testset as testing set
[2023-12-21 01:48:02,422][INFO] --evaluate the original net on testset
[2023-12-21 01:48:02,423][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-21 01:48:02,423][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-21 01:48:02,882][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-21 01:48:12,213][INFO] --epoch 156 loss 0.007531416090205312
[2023-12-21 01:48:12,272][INFO] --epoch 157 loss 0.0074589837691746656
[2023-12-21 01:48:12,332][INFO] --epoch 158 loss 0.007483936345670373
[2023-12-21 01:48:12,392][INFO] --epoch 159 loss 0.0074875607446301725
[2023-12-21 01:48:12,454][INFO] --epoch 160 loss 0.007447346928529441
[2023-12-21 01:48:12,513][INFO] --epoch 161 loss 0.0076652525691315535
[2023-12-21 01:48:12,573][INFO] --epoch 162 loss 0.007928419520612805
[2023-12-21 01:48:12,634][INFO] --epoch 163 loss 0.007983294082805514
[2023-12-21 01:48:12,693][INFO] --epoch 164 loss 0.007737279077991844
[2023-12-21 01:48:12,753][INFO] --epoch 165 loss 0.007380053820088506
[2023-12-21 01:48:12,812][INFO] --epoch 166 loss 0.007323580153752118
[2023-12-21 01:48:12,874][INFO] --epoch 167 loss 0.0082194150891155
[2023-12-21 01:48:12,935][INFO] --epoch 168 loss 0.007811493909684941
[2023-12-21 01:48:12,996][INFO] --epoch 169 loss 0.008171845157630742
[2023-12-21 01:48:13,057][INFO] --epoch 170 loss 0.0074738994473591445
[2023-12-21 01:48:13,117][INFO] --epoch 171 loss 0.008562550239730626
[2023-12-21 01:48:13,176][INFO] --epoch 172 loss 0.010182039218489081
[2023-12-21 01:48:13,236][INFO] --epoch 173 loss 0.009902849385980517
[2023-12-21 01:48:13,297][INFO] --epoch 174 loss 0.013216004509013146
[2023-12-21 01:48:13,355][INFO] --epoch 175 loss 0.01155541860498488
[2023-12-21 01:48:13,412][INFO] --epoch 176 loss 0.00828599687665701
[2023-12-21 01:48:13,470][INFO] --epoch 177 loss 0.007629569596610963
[2023-12-21 01:48:13,529][INFO] --epoch 178 loss 0.009747097396757453
[2023-12-21 01:48:13,590][INFO] --epoch 179 loss 0.009418933524284512
[2023-12-21 01:48:13,649][INFO] --epoch 180 loss 0.010037650808226318
