[2023-12-21 04:46:04,732][INFO] 
===== FNN_small-0.1-100-small-2023-12-21-04-46-04 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_small
  no_repair: False
  repair_number: 100
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.1
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5cbaac58b0>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 100
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5c6a96df70>
===== end of FNN_small-0.1-100-small-2023-12-21-04-46-04 configuration =====

[2023-12-21 04:46:04,732][INFO] ===== start repair ======
[2023-12-21 04:46:04,732][INFO] For pgd attack net
[2023-12-21 04:46:04,942][INFO] --big patch network: --- PatchNet ---
Name: small patch network 99
--- End of PatchNet ---
[2023-12-21 04:46:05,264][INFO] --load the trainset and testset as testing set
[2023-12-21 04:46:05,271][INFO] --evaluate the original net on testset
[2023-12-21 04:46:05,272][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-21 04:46:05,272][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-21 04:46:05,346][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-21 04:46:07,302][INFO] --epoch 157 loss 0.5109171718358994
[2023-12-21 04:46:07,315][INFO] --epoch 158 loss 0.5000274032354355
[2023-12-21 04:46:07,328][INFO] --epoch 159 loss 0.5072931498289108
[2023-12-21 04:46:07,339][INFO] --epoch 160 loss 0.4974813535809517
[2023-12-21 04:46:07,352][INFO] --epoch 161 loss 0.4939006119966507
[2023-12-21 04:46:07,363][INFO] --epoch 162 loss 0.5241094157099724
[2023-12-21 04:46:07,375][INFO] --epoch 163 loss 0.48892857134342194
[2023-12-21 04:46:07,387][INFO] --epoch 164 loss 0.49825918674468994
[2023-12-21 04:46:07,399][INFO] --epoch 165 loss 0.6144489645957947
[2023-12-21 04:46:07,412][INFO] --epoch 166 loss 0.9422618895769119
[2023-12-21 04:46:07,424][INFO] --epoch 167 loss 0.6263321489095688
[2023-12-21 04:46:07,436][INFO] --epoch 168 loss 0.5202213749289513
[2023-12-21 04:46:07,448][INFO] --epoch 169 loss 0.5779541507363319
[2023-12-21 04:46:07,460][INFO] --epoch 170 loss 0.5824711695313454
[2023-12-21 04:46:07,473][INFO] --epoch 171 loss 0.8688972592353821
[2023-12-21 04:46:07,485][INFO] --epoch 172 loss 0.632613331079483
[2023-12-21 04:46:07,498][INFO] --epoch 173 loss 0.9221885949373245
[2023-12-21 04:46:07,510][INFO] --epoch 174 loss 1.4621709287166595
[2023-12-21 04:46:07,522][INFO] --epoch 175 loss 0.7726537436246872
[2023-12-21 04:46:07,535][INFO] --epoch 176 loss 0.6429136246442795
[2023-12-21 04:46:07,548][INFO] --epoch 177 loss 0.838867112994194
[2023-12-21 04:46:07,560][INFO] --epoch 178 loss 0.7666800320148468
[2023-12-21 04:46:07,572][INFO] --epoch 179 loss 0.6798575073480606
[2023-12-21 04:46:07,585][INFO] --epoch 180 loss 1.0449173003435135
[2023-12-21 04:46:07,597][INFO] --epoch 181 loss 0.8171557486057281
[2023-12-21 04:46:07,609][INFO] --epoch 182 loss 0.5191009491682053
[2023-12-21 04:46:07,621][INFO] --epoch 183 loss 1.0613645985722542
[2023-12-21 04:46:07,633][INFO] --epoch 184 loss 1.3110466450452805
[2023-12-21 04:46:07,645][INFO] --epoch 185 loss 0.7519863247871399
[2023-12-21 04:46:07,656][INFO] --epoch 186 loss 0.6260258927941322
[2023-12-21 04:46:07,668][INFO] --epoch 187 loss 1.0689651519060135
[2023-12-21 04:46:07,680][INFO] --epoch 188 loss 2.281535655260086
[2023-12-21 04:46:07,693][INFO] --epoch 189 loss 1.8140867948532104
[2023-12-21 04:46:07,705][INFO] --epoch 190 loss 1.1782138794660568
[2023-12-21 04:46:07,717][INFO] --epoch 191 loss 0.9604110717773438
[2023-12-21 04:46:07,728][INFO] --epoch 192 loss 0.8072503060102463
[2023-12-21 04:46:07,740][INFO] --epoch 193 loss 0.539608784019947
[2023-12-21 04:46:07,752][INFO] --epoch 194 loss 0.7925888895988464
[2023-12-21 04:46:07,764][INFO] --epoch 195 loss 0.7485727816820145
[2023-12-21 04:46:07,777][INFO] --epoch 196 loss 0.7433809638023376
[2023-12-21 04:46:07,789][INFO] --epoch 197 loss 1.7111572623252869
[2023-12-21 04:46:07,802][INFO] --epoch 198 loss 1.1495929658412933
[2023-12-21 04:46:07,814][INFO] --epoch 199 loss 0.8940937221050262
[2023-12-21 04:46:07,814][INFO] --adv training finished
[2023-12-21 04:46:07,833][INFO] --evaluate the adv training net on testset
[2023-12-21 04:46:07,834][INFO] --For testset, out of 10000 items, ratio 0.5185
[2023-12-21 04:46:07,834][INFO] --test the defense against autoattack
[2023-12-21 04:46:12,099][INFO] correct1 8
[2023-12-21 04:46:12,516][INFO] correct2 29
[2023-12-21 04:46:12,840][INFO] correct3 0
[2023-12-21 04:46:17,249][INFO] correct1 5
[2023-12-21 04:46:18,155][INFO] correct2 32
[2023-12-21 04:46:18,469][INFO] correct3 0
[2023-12-21 04:46:22,823][INFO] correct1 10
[2023-12-21 04:46:23,705][INFO] correct2 30
[2023-12-21 04:46:24,043][INFO] correct3 0
[2023-12-21 04:46:28,329][INFO] correct1 3
[2023-12-21 04:46:28,754][INFO] correct2 31
[2023-12-21 04:46:29,082][INFO] correct3 0
[2023-12-21 04:46:33,533][INFO] correct1 3
[2023-12-21 04:46:33,948][INFO] correct2 28
[2023-12-21 04:46:34,271][INFO] correct3 0
[2023-12-21 04:46:38,736][INFO] correct1 5
[2023-12-21 04:46:39,164][INFO] correct2 31
[2023-12-21 04:46:39,478][INFO] correct3 0
[2023-12-21 04:46:43,989][INFO] correct1 6
[2023-12-21 04:46:44,413][INFO] correct2 32
[2023-12-21 04:46:44,747][INFO] correct3 0
[2023-12-21 04:46:49,214][INFO] correct1 4
[2023-12-21 04:46:49,646][INFO] correct2 29
[2023-12-21 04:46:49,986][INFO] correct3 0
[2023-12-21 04:46:54,311][INFO] correct1 7
[2023-12-21 04:46:55,219][INFO] correct2 29
[2023-12-21 04:46:56,055][INFO] correct3 0
[2023-12-21 04:47:00,465][INFO] correct1 5
[2023-12-21 04:47:01,823][INFO] correct2 31
[2023-12-21 04:47:03,104][INFO] correct3 0
[2023-12-21 04:47:07,680][INFO] correct1 7
[2023-12-21 04:47:08,149][INFO] correct2 29
[2023-12-21 04:47:08,483][INFO] correct3 0
[2023-12-21 04:47:12,902][INFO] correct1 5
[2023-12-21 04:47:13,314][INFO] correct2 31
[2023-12-21 04:47:13,621][INFO] correct3 0
[2023-12-21 04:47:18,125][INFO] correct1 6
[2023-12-21 04:47:18,532][INFO] correct2 30
[2023-12-21 04:47:18,859][INFO] correct3 0
[2023-12-21 04:47:23,043][INFO] correct1 5
[2023-12-21 04:47:24,791][INFO] correct2 31
[2023-12-21 04:47:25,599][INFO] correct3 0
[2023-12-21 04:47:29,842][INFO] correct1 2
