[2023-12-21 16:20:16,142][INFO] 
===== FNN_big-0.3-100-small-2023-12-21-16-20-16 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_big
  no_repair: False
  repair_number: 100
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.3
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5c646139d0>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 100
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5c64613700>
===== end of FNN_big-0.3-100-small-2023-12-21-16-20-16 configuration =====

[2023-12-21 16:20:16,143][INFO] ===== start repair ======
[2023-12-21 16:20:16,143][INFO] For pgd attack net
[2023-12-21 16:20:16,290][INFO] --big patch network: --- PatchNet ---
Name: small patch network 99
--- End of PatchNet ---
[2023-12-21 16:20:16,499][INFO] --load the trainset and testset as testing set
[2023-12-21 16:20:16,506][INFO] --evaluate the original net on testset
[2023-12-21 16:20:16,507][INFO] --For testset, out of 10000 items, ratio 0.9718
[2023-12-21 16:20:16,507][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-21 16:20:16,569][INFO] --For testset, out of 10000 items, ratio 0.9718
[2023-12-21 16:20:18,177][INFO] --epoch 122 loss 1.6440308690071106
[2023-12-21 16:20:18,189][INFO] --epoch 123 loss 1.5943052172660828
[2023-12-21 16:20:18,201][INFO] --epoch 124 loss 1.5731663405895233
[2023-12-21 16:20:18,214][INFO] --epoch 125 loss 1.60099396109581
[2023-12-21 16:20:18,225][INFO] --epoch 126 loss 1.5367887914180756
[2023-12-21 16:20:18,238][INFO] --epoch 127 loss 1.5156879425048828
[2023-12-21 16:20:18,250][INFO] --epoch 128 loss 1.4568393528461456
[2023-12-21 16:20:18,262][INFO] --epoch 129 loss 1.4271312952041626
[2023-12-21 16:20:18,275][INFO] --epoch 130 loss 1.3586208522319794
[2023-12-21 16:20:18,287][INFO] --epoch 131 loss 1.3582212626934052
[2023-12-21 16:20:18,300][INFO] --epoch 132 loss 1.275580257177353
[2023-12-21 16:20:18,312][INFO] --epoch 133 loss 1.2787915468215942
[2023-12-21 16:20:18,325][INFO] --epoch 134 loss 1.2125472128391266
[2023-12-21 16:20:18,337][INFO] --epoch 135 loss 1.1815174520015717
[2023-12-21 16:20:18,349][INFO] --epoch 136 loss 1.118330955505371
[2023-12-21 16:20:18,361][INFO] --epoch 137 loss 1.072055920958519
[2023-12-21 16:20:18,374][INFO] --epoch 138 loss 1.0313598811626434
[2023-12-21 16:20:18,386][INFO] --epoch 139 loss 1.0007226765155792
[2023-12-21 16:20:18,398][INFO] --epoch 140 loss 0.9674579054117203
[2023-12-21 16:20:18,410][INFO] --epoch 141 loss 0.9314947128295898
[2023-12-21 16:20:18,424][INFO] --epoch 142 loss 0.9100194871425629
[2023-12-21 16:20:18,437][INFO] --epoch 143 loss 0.8994317054748535
[2023-12-21 16:20:18,450][INFO] --epoch 144 loss 0.8859806805849075
[2023-12-21 16:20:18,463][INFO] --epoch 145 loss 0.8694053888320923
[2023-12-21 16:20:18,475][INFO] --epoch 146 loss 0.8621696531772614
[2023-12-21 16:20:18,487][INFO] --epoch 147 loss 0.8610145300626755
[2023-12-21 16:20:18,500][INFO] --epoch 148 loss 0.8562896698713303
[2023-12-21 16:20:18,513][INFO] --epoch 149 loss 0.8546167761087418
[2023-12-21 16:20:18,528][INFO] --epoch 150 loss 0.8540917038917542
[2023-12-21 16:20:18,540][INFO] --epoch 151 loss 0.8540279120206833
[2023-12-21 16:20:18,553][INFO] --epoch 152 loss 0.8544572591781616
[2023-12-21 16:20:18,564][INFO] --epoch 153 loss 0.8544721305370331
[2023-12-21 16:20:18,577][INFO] --epoch 154 loss 0.8565787374973297
[2023-12-21 16:20:18,589][INFO] --epoch 155 loss 0.8470792025327682
[2023-12-21 16:20:18,601][INFO] --epoch 156 loss 0.8431505411863327
[2023-12-21 16:20:18,613][INFO] --epoch 157 loss 0.8432676047086716
[2023-12-21 16:20:18,625][INFO] --epoch 158 loss 0.8448544442653656
[2023-12-21 16:20:18,637][INFO] --epoch 159 loss 0.8238201886415482
[2023-12-21 16:20:18,649][INFO] --epoch 160 loss 0.8256094306707382
[2023-12-21 16:20:18,661][INFO] --epoch 161 loss 0.8651450425386429
[2023-12-21 16:20:18,674][INFO] --epoch 162 loss 0.8110464960336685
[2023-12-21 16:20:18,686][INFO] --epoch 163 loss 0.8204301595687866
[2023-12-21 16:20:18,698][INFO] --epoch 164 loss 1.2562493085861206
[2023-12-21 16:20:18,710][INFO] --epoch 165 loss 1.4871232062578201
[2023-12-21 16:20:18,723][INFO] --epoch 166 loss 0.8347008675336838
[2023-12-21 16:20:18,734][INFO] --epoch 167 loss 0.9070347845554352
[2023-12-21 16:20:18,746][INFO] --epoch 168 loss 1.8651066720485687
[2023-12-21 16:20:18,759][INFO] --epoch 169 loss 0.9957019835710526
[2023-12-21 16:20:18,773][INFO] --epoch 170 loss 0.8713447600603104
[2023-12-21 16:20:18,786][INFO] --epoch 171 loss 0.7331915944814682
[2023-12-21 16:20:18,799][INFO] --epoch 172 loss 0.8448695540428162
[2023-12-21 16:20:18,815][INFO] --epoch 173 loss 1.1679981797933578
[2023-12-21 16:20:18,829][INFO] --epoch 174 loss 1.3544093370437622
[2023-12-21 16:20:18,842][INFO] --epoch 175 loss 1.1803641766309738
[2023-12-21 16:20:18,854][INFO] --epoch 176 loss 1.7823206782341003
[2023-12-21 16:20:18,866][INFO] --epoch 177 loss 1.0206162929534912
[2023-12-21 16:20:18,879][INFO] --epoch 178 loss 0.9481908828020096
[2023-12-21 16:20:18,891][INFO] --epoch 179 loss 0.6970727294683456
[2023-12-21 16:20:18,904][INFO] --epoch 180 loss 1.4305617362260818
[2023-12-21 16:20:18,917][INFO] --epoch 181 loss 0.9397653937339783
[2023-12-21 16:20:18,929][INFO] --epoch 182 loss 1.8824415057897568
[2023-12-21 16:20:18,943][INFO] --epoch 183 loss 1.6338189542293549
[2023-12-21 16:20:18,956][INFO] --epoch 184 loss 1.0779796987771988
[2023-12-21 16:20:18,969][INFO] --epoch 185 loss 0.7838662564754486
[2023-12-21 16:20:18,982][INFO] --epoch 186 loss 0.7556414306163788
[2023-12-21 16:20:18,996][INFO] --epoch 187 loss 0.7847842425107956
[2023-12-21 16:20:19,009][INFO] --epoch 188 loss 0.6810495555400848
[2023-12-21 16:20:19,022][INFO] --epoch 189 loss 0.7035353481769562
[2023-12-21 16:20:19,036][INFO] --epoch 190 loss 0.5405149236321449
[2023-12-21 16:20:19,049][INFO] --epoch 191 loss 1.0145703256130219
[2023-12-21 16:20:19,063][INFO] --epoch 192 loss 1.8976428508758545
[2023-12-21 16:20:19,076][INFO] --epoch 193 loss 1.0772220939397812
[2023-12-21 16:20:19,089][INFO] --epoch 194 loss 1.4973508715629578
[2023-12-21 16:20:19,103][INFO] --epoch 195 loss 0.9840194582939148
[2023-12-21 16:20:19,117][INFO] --epoch 196 loss 0.8153399974107742
[2023-12-21 16:20:19,130][INFO] --epoch 197 loss 0.6456829160451889
[2023-12-21 16:20:19,144][INFO] --epoch 198 loss 1.0976245403289795
[2023-12-21 16:20:19,157][INFO] --epoch 199 loss 0.8493004441261292
[2023-12-21 16:20:19,157][INFO] --adv training finished
[2023-12-21 16:20:19,175][INFO] --evaluate the adv training net on testset
[2023-12-21 16:20:19,176][INFO] --For testset, out of 10000 items, ratio 0.4516
[2023-12-21 16:20:19,176][INFO] --test the defense against autoattack
[2023-12-21 16:20:19,438][INFO] correct1 0
[2023-12-21 16:20:19,779][INFO] correct2 30
[2023-12-21 16:20:20,025][INFO] correct3 0
[2023-12-21 16:20:20,286][INFO] correct1 0
[2023-12-21 16:20:20,629][INFO] correct2 31
[2023-12-21 16:20:20,898][INFO] correct3 0
[2023-12-21 16:20:21,185][INFO] correct1 0
[2023-12-21 16:20:21,525][INFO] correct2 32
[2023-12-21 16:20:21,772][INFO] correct3 0
[2023-12-21 16:20:22,044][INFO] correct1 0
[2023-12-21 16:20:22,387][INFO] correct2 30
[2023-12-21 16:20:22,645][INFO] correct3 0
[2023-12-21 16:20:22,902][INFO] correct1 0
[2023-12-21 16:20:23,236][INFO] correct2 31
[2023-12-21 16:20:23,494][INFO] correct3 0
[2023-12-21 16:20:23,771][INFO] correct1 0
[2023-12-21 16:20:24,104][INFO] correct2 32
[2023-12-21 16:20:24,348][INFO] correct3 0
[2023-12-21 16:20:24,601][INFO] correct1 0
[2023-12-21 16:20:24,934][INFO] correct2 31
[2023-12-21 16:20:25,191][INFO] correct3 0
[2023-12-21 16:20:25,460][INFO] correct1 0
[2023-12-21 16:20:25,801][INFO] correct2 30
[2023-12-21 16:20:26,057][INFO] correct3 0
[2023-12-21 16:20:26,320][INFO] correct1 0
[2023-12-21 16:20:26,656][INFO] correct2 30
[2023-12-21 16:20:26,916][INFO] correct3 0
[2023-12-21 16:20:27,183][INFO] correct1 0
[2023-12-21 16:20:27,523][INFO] correct2 31
[2023-12-21 16:20:27,785][INFO] correct3 0
[2023-12-21 16:20:28,072][INFO] correct1 0
[2023-12-21 16:20:28,443][INFO] correct2 30
[2023-12-21 16:20:28,720][INFO] correct3 0
[2023-12-21 16:20:29,006][INFO] correct1 0
[2023-12-21 16:20:29,347][INFO] correct2 31
